study_cca,variable,est,value,type,group
search_excluded,glucosef,freq,0,Continuous,NA
search_excluded,glucosef,missing,77,Continuous,NA
search_included,bmi,mean,31.326360097324674,Continuous,NA
search_included,bmi,sd,10.121502410704933,Continuous,NA
search_included,bmi,median,31.307460705,Continuous,NA
search_included,bmi,q25,23.358148296,Continuous,NA
search_included,bmi,q75,37.522935136,Continuous,NA
search_included,bmi,min,13.695138501,Continuous,NA
search_included,bmi,max,89.012019185,Continuous,NA
search_included,bmi,freq,385,Continuous,NA
search_included,bmi,missing,0,Continuous,NA
search_included,hba1c,mean,7.14488188976378,Continuous,NA
search_included,hba1c,sd,1.8663237997429454,Continuous,NA
search_included,hba1c,median,6.5,Continuous,NA
search_included,hba1c,q25,5.8,Continuous,NA
search_included,hba1c,q75,8.1,Continuous,NA
search_included,hba1c,min,4.6,Continuous,NA
search_included,hba1c,max,15,Continuous,NA
search_included,hba1c,freq,381,Continuous,NA
search_included,hba1c,missing,4,Continuous,NA
search_included,cpeptidef,mean,3.242520325203252,Continuous,NA
search_included,cpeptidef,sd,2.249702973207,Continuous,NA
search_included,cpeptidef,median,3,Continuous,NA
search_included,cpeptidef,q25,1.32,Continuous,NA
search_included,cpeptidef,q75,4.6,Continuous,NA
search_included,cpeptidef,min,0.05,Continuous,NA
search_included,cpeptidef,max,11.4,Continuous,NA
search_included,cpeptidef,freq,369,Continuous,NA
search_included,cpeptidef,missing,16,Continuous,NA
search_included,sbp,mean,113.57583774271164,Continuous,NA
search_included,sbp,sd,12.790530937370782,Continuous,NA
search_included,sbp,median,112.66666667,Continuous,NA
search_included,sbp,q25,105.33333333,Continuous,NA
search_included,sbp,q75,120.66666667,Continuous,NA
search_included,sbp,min,81.333333333,Continuous,NA
search_included,sbp,max,150.66666667,Continuous,NA
search_included,sbp,freq,378,Continuous,NA
search_included,sbp,missing,7,Continuous,NA
search_included,dbp,mean,70.36339522545889,Continuous,NA
search_included,dbp,sd,10.284184960814743,Continuous,NA
search_included,dbp,median,70,Continuous,NA
search_included,dbp,q25,62.666666667,Continuous,NA
search_included,dbp,q75,77.333333333,Continuous,NA
search_included,dbp,min,40,Continuous,NA
search_included,dbp,max,107.33333333,Continuous,NA
search_included,dbp,freq,377,Continuous,NA
search_included,dbp,missing,8,Continuous,NA
search_included,ldlc,mean,95.59673024523161,Continuous,NA
search_included,ldlc,sd,29.272430383149313,Continuous,NA
search_included,ldlc,median,95,Continuous,NA
search_included,ldlc,q25,73,Continuous,NA
search_included,ldlc,q75,112,Continuous,NA
search_included,ldlc,min,36,Continuous,NA
search_included,ldlc,max,231,Continuous,NA
search_included,ldlc,freq,367,Continuous,NA
search_included,ldlc,missing,18,Continuous,NA
search_included,hdlc,mean,42.11716621253406,Continuous,NA
search_included,hdlc,sd,11.355646852776617,Continuous,NA
search_included,hdlc,median,41,Continuous,NA
search_included,hdlc,q25,34,Continuous,NA
search_included,hdlc,q75,49,Continuous,NA
search_included,hdlc,min,13,Continuous,NA
search_included,hdlc,max,81,Continuous,NA
search_included,hdlc,freq,367,Continuous,NA
search_included,hdlc,missing,18,Continuous,NA
search_included,totalc,mean,163.70027247956403,Continuous,NA
search_included,totalc,sd,37.45799213504296,Continuous,NA
search_included,totalc,median,159,Continuous,NA
search_included,totalc,q25,138.5,Continuous,NA
search_included,totalc,q75,183,Continuous,NA
search_included,totalc,min,88,Continuous,NA
search_included,totalc,max,330,Continuous,NA
search_included,totalc,freq,367,Continuous,NA
search_included,totalc,missing,18,Continuous,NA
search_included,insulinf,mean,NA,Continuous,NA
search_included,insulinf,sd,NA,Continuous,NA
search_included,insulinf,median,NA,Continuous,NA
search_included,insulinf,q25,NA,Continuous,NA
search_included,insulinf,q75,NA,Continuous,NA
search_included,insulinf,min,Inf,Continuous,NA
search_included,insulinf,max,-Inf,Continuous,NA
search_included,insulinf,freq,0,Continuous,NA
search_included,insulinf,missing,385,Continuous,NA
search_included,tgl,mean,NA,Continuous,NA
search_included,tgl,sd,NA,Continuous,NA
search_included,tgl,median,NA,Continuous,NA
search_included,tgl,q25,NA,Continuous,NA
search_included,tgl,q75,NA,Continuous,NA
search_included,tgl,min,Inf,Continuous,NA
search_included,tgl,max,-Inf,Continuous,NA
search_included,tgl,freq,0,Continuous,NA
search_included,tgl,missing,385,Continuous,NA
search_included,glucosef,mean,NA,Continuous,NA
search_included,glucosef,sd,NA,Continuous,NA
search_included,glucosef,median,NA,Continuous,NA
search_included,glucosef,q25,NA,Continuous,NA
search_included,glucosef,q75,NA,Continuous,NA
search_included,glucosef,min,Inf,Continuous,NA
search_included,glucosef,max,-Inf,Continuous,NA
search_included,glucosef,freq,0,Continuous,NA
search_included,glucosef,missing,385,Continuous,NA
today_included,bmi,mean,34.53567804154303,Continuous,NA
today_included,bmi,sd,2.604568535946974,Continuous,NA
today_included,bmi,median,33.7775,Continuous,NA
today_included,bmi,q25,32,Continuous,NA
today_included,bmi,q75,38,Continuous,NA
today_included,bmi,min,32,Continuous,NA
today_included,bmi,max,38,Continuous,NA
today_included,bmi,freq,337,Continuous,NA
today_included,bmi,missing,0,Continuous,NA
today_included,hba1c,mean,5.912759643916914,Continuous,NA
today_included,hba1c,sd,0.6808938748753215,Continuous,NA
today_included,hba1c,median,5.9,Continuous,NA
today_included,hba1c,q25,5.4,Continuous,NA
today_included,hba1c,q75,6.3,Continuous,NA
today_included,hba1c,min,4.3,Continuous,NA
today_included,hba1c,max,7.9,Continuous,NA
today_included,hba1c,freq,337,Continuous,NA
today_included,hba1c,missing,0,Continuous,NA
today_included,cpeptidef,mean,3.800982142857143,Continuous,NA
today_included,cpeptidef,sd,1.5581096237685494,Continuous,NA
today_included,cpeptidef,median,3.55,Continuous,NA
today_included,cpeptidef,q25,2.7,Continuous,NA
today_included,cpeptidef,q75,4.6525,Continuous,NA
today_included,cpeptidef,min,1.04,Continuous,NA
today_included,cpeptidef,max,8.92,Continuous,NA
today_included,cpeptidef,freq,336,Continuous,NA
today_included,cpeptidef,missing,1,Continuous,NA
today_included,sbp,mean,113.03857566765579,Continuous,NA
today_included,sbp,sd,10.662364066615295,Continuous,NA
today_included,sbp,median,113,Continuous,NA
today_included,sbp,q25,106,Continuous,NA
today_included,sbp,q75,120,Continuous,NA
today_included,sbp,min,86,Continuous,NA
today_included,sbp,max,156.5,Continuous,NA
today_included,sbp,freq,337,Continuous,NA
today_included,sbp,missing,0,Continuous,NA
today_included,dbp,mean,66.68100890207715,Continuous,NA
today_included,dbp,sd,8.620117399379616,Continuous,NA
today_included,dbp,median,66.5,Continuous,NA
today_included,dbp,q25,61,Continuous,NA
today_included,dbp,q75,72,Continuous,NA
today_included,dbp,min,42,Continuous,NA
today_included,dbp,max,96,Continuous,NA
today_included,dbp,freq,337,Continuous,NA
today_included,dbp,missing,0,Continuous,NA
today_included,ldlc,mean,83.42559523809524,Continuous,NA
today_included,ldlc,sd,23.928883432605065,Continuous,NA
today_included,ldlc,median,82,Continuous,NA
today_included,ldlc,q25,67.75,Continuous,NA
today_included,ldlc,q75,100.25,Continuous,NA
today_included,ldlc,min,23,Continuous,NA
today_included,ldlc,max,156,Continuous,NA
today_included,ldlc,freq,336,Continuous,NA
today_included,ldlc,missing,1,Continuous,NA
today_included,hdlc,mean,38.901785714285715,Continuous,NA
today_included,hdlc,sd,9.002115659884879,Continuous,NA
today_included,hdlc,median,37.5,Continuous,NA
today_included,hdlc,q25,33,Continuous,NA
today_included,hdlc,q75,44,Continuous,NA
today_included,hdlc,min,17,Continuous,NA
today_included,hdlc,max,75,Continuous,NA
today_included,hdlc,freq,336,Continuous,NA
today_included,hdlc,missing,1,Continuous,NA
today_included,totalc,mean,143.42433234421364,Continuous,NA
today_included,totalc,sd,28.643660505028226,Continuous,NA
today_included,totalc,median,142,Continuous,NA
today_included,totalc,q25,124,Continuous,NA
today_included,totalc,q75,160,Continuous,NA
today_included,totalc,min,54,Continuous,NA
today_included,totalc,max,242,Continuous,NA
today_included,totalc,freq,337,Continuous,NA
today_included,totalc,missing,0,Continuous,NA
today_included,insulinf,mean,30.14084084084084,Continuous,NA
today_included,insulinf,sd,22.16447856671189,Continuous,NA
today_included,insulinf,median,25.3,Continuous,NA
today_included,insulinf,q25,17.2,Continuous,NA
today_included,insulinf,q75,36.6,Continuous,NA
today_included,insulinf,min,2.2,Continuous,NA
today_included,insulinf,max,202.5,Continuous,NA
today_included,insulinf,freq,333,Continuous,NA
today_included,insulinf,missing,4,Continuous,NA
today_included,tgl,mean,107.70326409495549,Continuous,NA
today_included,tgl,sd,67.06185680491927,Continuous,NA
today_included,tgl,median,89,Continuous,NA
today_included,tgl,q25,64,Continuous,NA
today_included,tgl,q75,130,Continuous,NA
today_included,tgl,min,27,Continuous,NA
today_included,tgl,max,541,Continuous,NA
today_included,tgl,freq,337,Continuous,NA
today_included,tgl,missing,0,Continuous,NA
today_included,glucosef,mean,106.45994065281899,Continuous,NA
today_included,glucosef,sd,21.345911647059875,Continuous,NA
today_included,glucosef,median,101,Continuous,NA
today_included,glucosef,q25,92,Continuous,NA
today_included,glucosef,q75,116,Continuous,NA
today_included,glucosef,min,70,Continuous,NA
today_included,glucosef,max,214,Continuous,NA
today_included,glucosef,freq,337,Continuous,NA
today_included,glucosef,missing,0,Continuous,NA
Total,female,proportion,56.94618272841051,Proportion,NA
Total,female,freq,799,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,36.9811320754717,Proportion,NA
Total,insulin,freq,795,Proportion,NA
Total,insulin,missing,4,Proportion,NA
Total,metformin,proportion,68.30188679245282,Proportion,NA
Total,metformin,freq,795,Proportion,NA
Total,metformin,missing,4,Proportion,NA
search_excluded,female,proportion,61.038961038961034,Proportion,NA
search_excluded,female,freq,77,Proportion,NA
search_excluded,female,missing,0,Proportion,NA
search_excluded,insulin,proportion,89.47368421052632,Proportion,NA
search_excluded,insulin,freq,76,Proportion,NA
search_excluded,insulin,missing,1,Proportion,NA
search_excluded,metformin,proportion,9.210526315789473,Proportion,NA
search_excluded,metformin,freq,76,Proportion,NA
search_excluded,metformin,missing,1,Proportion,NA
search_included,female,proportion,53.246753246753244,Proportion,NA
search_included,female,freq,385,Proportion,NA
search_included,female,missing,0,Proportion,NA
search_included,insulin,proportion,59.16230366492147,Proportion,NA
search_included,insulin,freq,382,Proportion,NA
search_included,insulin,missing,3,Proportion,NA
search_included,metformin,proportion,52.09424083769634,Proportion,NA
search_included,metformin,freq,382,Proportion,NA
search_included,metformin,missing,3,Proportion,NA
today_included,female,proportion,60.23738872403561,Proportion,NA
today_included,female,freq,337,Proportion,NA
today_included,female,missing,0,Proportion,NA
today_included,insulin,proportion,0,Proportion,NA
today_included,insulin,freq,337,Proportion,NA
today_included,insulin,missing,0,Proportion,NA
today_included,metformin,proportion,100,Proportion,NA
today_included,metformin,freq,337,Proportion,NA
today_included,metformin,missing,0,Proportion,NA
Total,study,proportion,57.82227784730914,Grouped,SEARCH
Total,study,freq,462,Grouped,SEARCH
Total,study,proportion,42.17772215269086,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
search_excluded,study,proportion,100,Grouped,SEARCH
search_excluded,study,freq,77,Grouped,SEARCH
search_included,study,proportion,100,Grouped,SEARCH
search_included,study,freq,385,Grouped,SEARCH
today_included,study,proportion,100,Grouped,TODAY
today_included,study,freq,337,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,799,Grouped,<=5 months
search_excluded,dmduration_category,proportion,100,Grouped,<=5 months
search_excluded,dmduration_category,freq,77,Grouped,<=5 months
search_included,dmduration_category,proportion,100,Grouped,<=5 months
search_included,dmduration_category,freq,385,Grouped,<=5 months
today_included,dmduration_category,proportion,100,Grouped,<=5 months
today_included,dmduration_category,freq,337,Grouped,<=5 months
Total,age_category,proportion,20.650813516896122,Grouped,14-15
Total,age_category,freq,165,Grouped,14-15
Total,age_category,proportion,43.30413016270338,Grouped,<=13
Total,age_category,freq,346,Grouped,<=13
Total,age_category,proportion,36.0450563204005,Grouped,>15
Total,age_category,freq,288,Grouped,>15
search_excluded,age_category,proportion,10.38961038961039,Grouped,14-15
search_excluded,age_category,freq,8,Grouped,14-15
search_excluded,age_category,proportion,67.53246753246754,Grouped,<=13
search_excluded,age_category,freq,52,Grouped,<=13
search_excluded,age_category,proportion,22.07792207792208,Grouped,>15
search_excluded,age_category,freq,17,Grouped,>15
search_included,age_category,proportion,14.025974025974026,Grouped,14-15
search_included,age_category,freq,54,Grouped,14-15
search_included,age_category,proportion,40.77922077922078,Grouped,<=13
search_included,age_category,freq,157,Grouped,<=13
search_included,age_category,proportion,45.1948051948052,Grouped,>15
search_included,age_category,freq,174,Grouped,>15
today_included,age_category,proportion,30.56379821958457,Grouped,14-15
today_included,age_category,freq,103,Grouped,14-15
today_included,age_category,proportion,40.652818991097924,Grouped,<=13
today_included,age_category,freq,137,Grouped,<=13
today_included,age_category,proportion,28.783382789317507,Grouped,>15
today_included,age_category,freq,97,Grouped,>15
Total,race_eth,proportion,29.161451814768462,Grouped,Hispanic
Total,race_eth,freq,233,Grouped,Hispanic
Total,race_eth,proportion,28.660826032540676,Grouped,NH Black
Total,race_eth,freq,229,Grouped,NH Black
Total,race_eth,proportion,7.6345431789737175,Grouped,NH Other
Total,race_eth,freq,61,Grouped,NH Other
Total,race_eth,proportion,34.54317897371715,Grouped,NH White
Total,race_eth,freq,276,Grouped,NH White
search_excluded,race_eth,proportion,15.584415584415584,Grouped,Hispanic
search_excluded,race_eth,freq,12,Grouped,Hispanic
search_excluded,race_eth,proportion,15.584415584415584,Grouped,NH Black
search_excluded,race_eth,freq,12,Grouped,NH Black
search_excluded,race_eth,proportion,3.896103896103896,Grouped,NH Other
search_excluded,race_eth,freq,3,Grouped,NH Other
search_excluded,race_eth,proportion,64.93506493506493,Grouped,NH White
search_excluded,race_eth,freq,50,Grouped,NH White
search_included,race_eth,proportion,20.77922077922078,Grouped,Hispanic
search_included,race_eth,freq,80,Grouped,Hispanic
search_included,race_eth,proportion,32.20779220779221,Grouped,NH Black
search_included,race_eth,freq,124,Grouped,NH Black
search_included,race_eth,proportion,7.532467532467533,Grouped,NH Other
search_included,race_eth,freq,29,Grouped,NH Other
search_included,race_eth,proportion,39.48051948051948,Grouped,NH White
search_included,race_eth,freq,152,Grouped,NH White
today_included,race_eth,proportion,41.839762611275965,Grouped,Hispanic
today_included,race_eth,freq,141,Grouped,Hispanic
today_included,race_eth,proportion,27.596439169139465,Grouped,NH Black
today_included,race_eth,freq,93,Grouped,NH Black
today_included,race_eth,proportion,8.6053412462908,Grouped,NH Other
today_included,race_eth,freq,29,Grouped,NH Other
today_included,race_eth,proportion,21.958456973293767,Grouped,NH White
today_included,race_eth,freq,74,Grouped,NH White
Total,bmipct,proportion,53.942428035043804,Grouped,<98.5
Total,bmipct,freq,431,Grouped,<98.5
Total,bmipct,proportion,46.057571964956196,Grouped,>=98.5
Total,bmipct,freq,368,Grouped,>=98.5
search_excluded,bmipct,proportion,93.50649350649351,Grouped,<98.5
search_excluded,bmipct,freq,72,Grouped,<98.5
search_excluded,bmipct,proportion,6.4935064935064934,Grouped,>=98.5
search_excluded,bmipct,freq,5,Grouped,>=98.5
search_included,bmipct,proportion,56.103896103896105,Grouped,<98.5
search_included,bmipct,freq,216,Grouped,<98.5
search_included,bmipct,proportion,43.896103896103895,Grouped,>=98.5
search_included,bmipct,freq,169,Grouped,>=98.5
today_included,bmipct,proportion,42.433234421364986,Grouped,<98.5
today_included,bmipct,freq,143,Grouped,<98.5
today_included,bmipct,proportion,57.566765578635014,Grouped,>=98.5
today_included,bmipct,freq,194,Grouped,>=98.5
