study,variable,est,value,type,group
TODAY,race_eth,freq,74,Grouped,NH White
Total,race_eth,proportion,33.59375,Grouped,Hispanic
Total,race_eth,freq,215,Grouped,Hispanic
Total,race_eth,proportion,32.65625,Grouped,NH Black
Total,race_eth,freq,209,Grouped,NH Black
Total,race_eth,proportion,9.0625,Grouped,NH Other
Total,race_eth,freq,58,Grouped,NH Other
Total,race_eth,proportion,24.6875,Grouped,NH White
Total,race_eth,freq,158,Grouped,NH White
SEARCH,bmipct,proportion,41.914191419141915,Grouped,<98.5
SEARCH,bmipct,freq,127,Grouped,<98.5
SEARCH,bmipct,proportion,58.085808580858085,Grouped,>=98.5
SEARCH,bmipct,freq,176,Grouped,>=98.5
TODAY,bmipct,proportion,42.433234421364986,Grouped,<98.5
TODAY,bmipct,freq,143,Grouped,<98.5
TODAY,bmipct,proportion,57.566765578635014,Grouped,>=98.5
TODAY,bmipct,freq,194,Grouped,>=98.5
Total,bmipct,proportion,42.1875,Grouped,<98.5
Total,bmipct,freq,270,Grouped,<98.5
Total,bmipct,proportion,57.8125,Grouped,>=98.5
Total,bmipct,freq,370,Grouped,>=98.5
