study_cca,variable,est,value,type,group
search_included,hba1c,min,4.6,Continuous,NA
search_included,hba1c,max,15,Continuous,NA
search_included,hba1c,freq,300,Continuous,NA
search_included,hba1c,missing,4,Continuous,NA
search_included,cpeptidef,mean,3.756527777777778,Continuous,NA
search_included,cpeptidef,sd,2.1591858123024075,Continuous,NA
search_included,cpeptidef,median,3.465,Continuous,NA
search_included,cpeptidef,q25,2.1475,Continuous,NA
search_included,cpeptidef,q75,4.9925,Continuous,NA
search_included,cpeptidef,min,0.05,Continuous,NA
search_included,cpeptidef,max,11.4,Continuous,NA
search_included,cpeptidef,freq,288,Continuous,NA
search_included,cpeptidef,missing,16,Continuous,NA
search_included,sbp,mean,115.47333333347666,Continuous,NA
search_included,sbp,sd,12.45219890331982,Continuous,NA
search_included,sbp,median,114.66666667,Continuous,NA
search_included,sbp,q25,107.33333333,Continuous,NA
search_included,sbp,q75,122.66666667,Continuous,NA
search_included,sbp,min,84.666666667,Continuous,NA
search_included,sbp,max,150.66666667,Continuous,NA
search_included,sbp,freq,300,Continuous,NA
search_included,sbp,missing,4,Continuous,NA
search_included,dbp,mean,71.17725752507359,Continuous,NA
search_included,dbp,sd,10.391415894578392,Continuous,NA
search_included,dbp,median,70.666666667,Continuous,NA
search_included,dbp,q25,63.333333333,Continuous,NA
search_included,dbp,q75,78.666666667,Continuous,NA
search_included,dbp,min,45.333333333,Continuous,NA
search_included,dbp,max,107.33333333,Continuous,NA
search_included,dbp,freq,299,Continuous,NA
search_included,dbp,missing,5,Continuous,NA
search_included,ldlc,mean,99.11888111888112,Continuous,NA
search_included,ldlc,sd,30.65609799056087,Continuous,NA
search_included,ldlc,median,98.5,Continuous,NA
search_included,ldlc,q25,76,Continuous,NA
search_included,ldlc,q75,117,Continuous,NA
search_included,ldlc,min,36,Continuous,NA
search_included,ldlc,max,231,Continuous,NA
search_included,ldlc,freq,286,Continuous,NA
search_included,ldlc,missing,18,Continuous,NA
search_included,hdlc,mean,39.46853146853147,Continuous,NA
search_included,hdlc,sd,9.468547524399574,Continuous,NA
search_included,hdlc,median,39,Continuous,NA
search_included,hdlc,q25,33,Continuous,NA
search_included,hdlc,q75,45,Continuous,NA
search_included,hdlc,min,13,Continuous,NA
search_included,hdlc,max,65,Continuous,NA
search_included,hdlc,freq,286,Continuous,NA
search_included,hdlc,missing,18,Continuous,NA
search_included,totalc,mean,168.2902097902098,Continuous,NA
search_included,totalc,sd,39.30594850688645,Continuous,NA
search_included,totalc,median,166,Continuous,NA
search_included,totalc,q25,141,Continuous,NA
search_included,totalc,q75,193,Continuous,NA
search_included,totalc,min,89,Continuous,NA
search_included,totalc,max,330,Continuous,NA
search_included,totalc,freq,286,Continuous,NA
search_included,totalc,missing,18,Continuous,NA
search_included,insulinf,mean,NA,Continuous,NA
search_included,insulinf,sd,NA,Continuous,NA
search_included,insulinf,median,NA,Continuous,NA
search_included,insulinf,q25,NA,Continuous,NA
search_included,insulinf,q75,NA,Continuous,NA
search_included,insulinf,min,Inf,Continuous,NA
search_included,insulinf,max,-Inf,Continuous,NA
search_included,insulinf,freq,0,Continuous,NA
search_included,insulinf,missing,304,Continuous,NA
search_included,tgl,mean,NA,Continuous,NA
search_included,tgl,sd,NA,Continuous,NA
search_included,tgl,median,NA,Continuous,NA
search_included,tgl,q25,NA,Continuous,NA
search_included,tgl,q75,NA,Continuous,NA
search_included,tgl,min,Inf,Continuous,NA
search_included,tgl,max,-Inf,Continuous,NA
search_included,tgl,freq,0,Continuous,NA
search_included,tgl,missing,304,Continuous,NA
search_included,glucosef,mean,NA,Continuous,NA
search_included,glucosef,sd,NA,Continuous,NA
search_included,glucosef,median,NA,Continuous,NA
search_included,glucosef,q25,NA,Continuous,NA
search_included,glucosef,q75,NA,Continuous,NA
search_included,glucosef,min,Inf,Continuous,NA
search_included,glucosef,max,-Inf,Continuous,NA
search_included,glucosef,freq,0,Continuous,NA
search_included,glucosef,missing,304,Continuous,NA
today_included,bmi,mean,34.53567804154303,Continuous,NA
today_included,bmi,sd,2.604568535946974,Continuous,NA
today_included,bmi,median,33.7775,Continuous,NA
today_included,bmi,q25,32,Continuous,NA
today_included,bmi,q75,38,Continuous,NA
today_included,bmi,min,32,Continuous,NA
today_included,bmi,max,38,Continuous,NA
today_included,bmi,freq,337,Continuous,NA
today_included,bmi,missing,0,Continuous,NA
today_included,hba1c,mean,5.912759643916914,Continuous,NA
today_included,hba1c,sd,0.6808938748753215,Continuous,NA
today_included,hba1c,median,5.9,Continuous,NA
today_included,hba1c,q25,5.4,Continuous,NA
today_included,hba1c,q75,6.3,Continuous,NA
today_included,hba1c,min,4.3,Continuous,NA
today_included,hba1c,max,7.9,Continuous,NA
today_included,hba1c,freq,337,Continuous,NA
today_included,hba1c,missing,0,Continuous,NA
today_included,cpeptidef,mean,3.800982142857143,Continuous,NA
today_included,cpeptidef,sd,1.5581096237685494,Continuous,NA
today_included,cpeptidef,median,3.55,Continuous,NA
today_included,cpeptidef,q25,2.7,Continuous,NA
today_included,cpeptidef,q75,4.6525,Continuous,NA
today_included,cpeptidef,min,1.04,Continuous,NA
today_included,cpeptidef,max,8.92,Continuous,NA
today_included,cpeptidef,freq,336,Continuous,NA
today_included,cpeptidef,missing,1,Continuous,NA
today_included,sbp,mean,113.03857566765579,Continuous,NA
today_included,sbp,sd,10.662364066615295,Continuous,NA
today_included,sbp,median,113,Continuous,NA
today_included,sbp,q25,106,Continuous,NA
today_included,sbp,q75,120,Continuous,NA
today_included,sbp,min,86,Continuous,NA
today_included,sbp,max,156.5,Continuous,NA
today_included,sbp,freq,337,Continuous,NA
today_included,sbp,missing,0,Continuous,NA
today_included,dbp,mean,66.68100890207715,Continuous,NA
today_included,dbp,sd,8.620117399379616,Continuous,NA
today_included,dbp,median,66.5,Continuous,NA
today_included,dbp,q25,61,Continuous,NA
today_included,dbp,q75,72,Continuous,NA
today_included,dbp,min,42,Continuous,NA
today_included,dbp,max,96,Continuous,NA
today_included,dbp,freq,337,Continuous,NA
today_included,dbp,missing,0,Continuous,NA
today_included,ldlc,mean,83.42559523809524,Continuous,NA
today_included,ldlc,sd,23.928883432605065,Continuous,NA
today_included,ldlc,median,82,Continuous,NA
today_included,ldlc,q25,67.75,Continuous,NA
today_included,ldlc,q75,100.25,Continuous,NA
today_included,ldlc,min,23,Continuous,NA
today_included,ldlc,max,156,Continuous,NA
today_included,ldlc,freq,336,Continuous,NA
today_included,ldlc,missing,1,Continuous,NA
today_included,hdlc,mean,38.901785714285715,Continuous,NA
today_included,hdlc,sd,9.002115659884879,Continuous,NA
today_included,hdlc,median,37.5,Continuous,NA
today_included,hdlc,q25,33,Continuous,NA
today_included,hdlc,q75,44,Continuous,NA
today_included,hdlc,min,17,Continuous,NA
today_included,hdlc,max,75,Continuous,NA
today_included,hdlc,freq,336,Continuous,NA
today_included,hdlc,missing,1,Continuous,NA
today_included,totalc,mean,143.42433234421364,Continuous,NA
today_included,totalc,sd,28.643660505028226,Continuous,NA
today_included,totalc,median,142,Continuous,NA
today_included,totalc,q25,124,Continuous,NA
today_included,totalc,q75,160,Continuous,NA
today_included,totalc,min,54,Continuous,NA
today_included,totalc,max,242,Continuous,NA
today_included,totalc,freq,337,Continuous,NA
today_included,totalc,missing,0,Continuous,NA
today_included,insulinf,mean,30.14084084084084,Continuous,NA
today_included,insulinf,sd,22.16447856671189,Continuous,NA
today_included,insulinf,median,25.3,Continuous,NA
today_included,insulinf,q25,17.2,Continuous,NA
today_included,insulinf,q75,36.6,Continuous,NA
today_included,insulinf,min,2.2,Continuous,NA
today_included,insulinf,max,202.5,Continuous,NA
today_included,insulinf,freq,333,Continuous,NA
today_included,insulinf,missing,4,Continuous,NA
today_included,tgl,mean,107.70326409495549,Continuous,NA
today_included,tgl,sd,67.06185680491927,Continuous,NA
today_included,tgl,median,89,Continuous,NA
today_included,tgl,q25,64,Continuous,NA
today_included,tgl,q75,130,Continuous,NA
today_included,tgl,min,27,Continuous,NA
today_included,tgl,max,541,Continuous,NA
today_included,tgl,freq,337,Continuous,NA
today_included,tgl,missing,0,Continuous,NA
today_included,glucosef,mean,106.45994065281899,Continuous,NA
today_included,glucosef,sd,21.345911647059875,Continuous,NA
today_included,glucosef,median,101,Continuous,NA
today_included,glucosef,q25,92,Continuous,NA
today_included,glucosef,q75,116,Continuous,NA
today_included,glucosef,min,70,Continuous,NA
today_included,glucosef,max,214,Continuous,NA
today_included,glucosef,freq,337,Continuous,NA
today_included,glucosef,missing,0,Continuous,NA
Total,female,proportion,58.495821727019504,Proportion,NA
Total,female,freq,718,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,31.608391608391607,Proportion,NA
Total,insulin,freq,715,Proportion,NA
Total,insulin,missing,3,Proportion,NA
Total,metformin,proportion,74.54545454545455,Proportion,NA
Total,metformin,freq,715,Proportion,NA
Total,metformin,missing,3,Proportion,NA
Total,dmfamilyhistory,proportion,67.54874651810584,Proportion,NA
Total,dmfamilyhistory,freq,718,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
search_excluded,female,proportion,61.038961038961034,Proportion,NA
search_excluded,female,freq,77,Proportion,NA
search_excluded,female,missing,0,Proportion,NA
search_excluded,insulin,proportion,89.47368421052632,Proportion,NA
search_excluded,insulin,freq,76,Proportion,NA
search_excluded,insulin,missing,1,Proportion,NA
search_excluded,metformin,proportion,9.210526315789473,Proportion,NA
search_excluded,metformin,freq,76,Proportion,NA
search_excluded,metformin,missing,1,Proportion,NA
search_excluded,dmfamilyhistory,proportion,38.961038961038966,Proportion,NA
search_excluded,dmfamilyhistory,freq,77,Proportion,NA
search_excluded,dmfamilyhistory,missing,0,Proportion,NA
search_included,female,proportion,55.92105263157895,Proportion,NA
search_included,female,freq,304,Proportion,NA
search_included,female,missing,0,Proportion,NA
search_included,insulin,proportion,52.317880794701985,Proportion,NA
search_included,insulin,freq,302,Proportion,NA
search_included,insulin,missing,2,Proportion,NA
search_included,metformin,proportion,62.58278145695364,Proportion,NA
search_included,metformin,freq,302,Proportion,NA
search_included,metformin,missing,2,Proportion,NA
search_included,dmfamilyhistory,proportion,50.98684210526315,Proportion,NA
search_included,dmfamilyhistory,freq,304,Proportion,NA
search_included,dmfamilyhistory,missing,0,Proportion,NA
today_included,female,proportion,60.23738872403561,Proportion,NA
today_included,female,freq,337,Proportion,NA
today_included,female,missing,0,Proportion,NA
today_included,insulin,proportion,0,Proportion,NA
today_included,insulin,freq,337,Proportion,NA
today_included,insulin,missing,0,Proportion,NA
today_included,metformin,proportion,100,Proportion,NA
today_included,metformin,freq,337,Proportion,NA
today_included,metformin,missing,0,Proportion,NA
today_included,dmfamilyhistory,proportion,89.02077151335311,Proportion,NA
today_included,dmfamilyhistory,freq,337,Proportion,NA
today_included,dmfamilyhistory,missing,0,Proportion,NA
Total,study,proportion,53.06406685236769,Grouped,SEARCH
Total,study,freq,381,Grouped,SEARCH
Total,study,proportion,46.93593314763231,Grouped,TODAY
Total,study,freq,337,Grouped,TODAY
search_excluded,study,proportion,100,Grouped,SEARCH
search_excluded,study,freq,77,Grouped,SEARCH
search_included,study,proportion,100,Grouped,SEARCH
search_included,study,freq,304,Grouped,SEARCH
today_included,study,proportion,100,Grouped,TODAY
today_included,study,freq,337,Grouped,TODAY
Total,dmduration_category,proportion,100,Grouped,<=5 months
