study,variable,est,value,type,group
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,623,Continuous,NA
Total,totalc,missing,18,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,308,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,304,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,304,Continuous,NA
SEARCH,female,proportion,55.92105263157895,Proportion,NA
SEARCH,female,freq,304,Proportion,NA
SEARCH,female,missing,0,Proportion,NA
SEARCH,insulin,proportion,52.317880794701985,Proportion,NA
SEARCH,insulin,freq,302,Proportion,NA
SEARCH,insulin,missing,2,Proportion,NA
SEARCH,metformin,proportion,62.58278145695364,Proportion,NA
SEARCH,metformin,freq,302,Proportion,NA
SEARCH,metformin,missing,2,Proportion,NA
SEARCH,dmfamilyhistory,proportion,50.98684210526315,Proportion,NA
SEARCH,dmfamilyhistory,freq,304,Proportion,NA
SEARCH,dmfamilyhistory,missing,0,Proportion,NA
TODAY,female,proportion,60.23738872403561,Proportion,NA
TODAY,female,freq,337,Proportion,NA
TODAY,female,missing,0,Proportion,NA
TODAY,insulin,proportion,0,Proportion,NA
TODAY,insulin,freq,337,Proportion,NA
TODAY,insulin,missing,0,Proportion,NA
TODAY,metformin,proportion,100,Proportion,NA
TODAY,metformin,freq,337,Proportion,NA
TODAY,metformin,missing,0,Proportion,NA
TODAY,dmfamilyhistory,proportion,89.02077151335311,Proportion,NA
TODAY,dmfamilyhistory,freq,337,Proportion,NA
TODAY,dmfamilyhistory,missing,0,Proportion,NA
Total,female,proportion,58.19032761310452,Proportion,NA
Total,female,freq,641,Proportion,NA
Total,female,missing,0,Proportion,NA
Total,insulin,proportion,24.726134585289515,Proportion,NA
Total,insulin,freq,639,Proportion,NA
Total,insulin,missing,2,Proportion,NA
Total,metformin,proportion,82.31611893583725,Proportion,NA
Total,metformin,freq,639,Proportion,NA
Total,metformin,missing,2,Proportion,NA
Total,dmfamilyhistory,proportion,70.98283931357254,Proportion,NA
Total,dmfamilyhistory,freq,641,Proportion,NA
Total,dmfamilyhistory,missing,0,Proportion,NA
SEARCH,cluster,proportion,30.92105263157895,Grouped,yIDD
SEARCH,cluster,freq,94,Grouped,yIDD
SEARCH,cluster,proportion,40.78947368421053,Grouped,yIRD
SEARCH,cluster,freq,124,Grouped,yIRD
SEARCH,cluster,proportion,28.289473684210527,Grouped,yOD
SEARCH,cluster,freq,86,Grouped,yOD
TODAY,cluster,proportion,7.71513353115727,Grouped,yIDD
TODAY,cluster,freq,26,Grouped,yIDD
TODAY,cluster,proportion,25.519287833827892,Grouped,yIRD
TODAY,cluster,freq,86,Grouped,yIRD
TODAY,cluster,proportion,66.76557863501483,Grouped,yOD
TODAY,cluster,freq,225,Grouped,yOD
Total,cluster,proportion,18.720748829953198,Grouped,yIDD
Total,cluster,freq,120,Grouped,yIDD
Total,cluster,proportion,32.761310452418094,Grouped,yIRD
Total,cluster,freq,210,Grouped,yIRD
Total,cluster,proportion,48.517940717628704,Grouped,yOD
Total,cluster,freq,311,Grouped,yOD
NA,study,proportion,100,Grouped,SEARCH
NA,study,freq,304,Grouped,SEARCH
NA,study,proportion,100,Grouped,TODAY
NA,study,freq,337,Grouped,TODAY
NA,study,proportion,100,Grouped,Total
NA,study,freq,641,Grouped,Total
SEARCH,dmduration_category,proportion,100,Grouped,<=5 months
SEARCH,dmduration_category,freq,304,Grouped,<=5 months
TODAY,dmduration_category,proportion,100,Grouped,<=5 months
TODAY,dmduration_category,freq,337,Grouped,<=5 months
Total,dmduration_category,proportion,100,Grouped,<=5 months
Total,dmduration_category,freq,641,Grouped,<=5 months
SEARCH,age_category,proportion,14.144736842105264,Grouped,14-15
SEARCH,age_category,freq,43,Grouped,14-15
SEARCH,age_category,proportion,35.526315789473685,Grouped,<=13
SEARCH,age_category,freq,108,Grouped,<=13
SEARCH,age_category,proportion,50.328947368421055,Grouped,>15
SEARCH,age_category,freq,153,Grouped,>15
TODAY,age_category,proportion,30.56379821958457,Grouped,14-15
TODAY,age_category,freq,103,Grouped,14-15
TODAY,age_category,proportion,40.652818991097924,Grouped,<=13
TODAY,age_category,freq,137,Grouped,<=13
TODAY,age_category,proportion,28.783382789317507,Grouped,>15
TODAY,age_category,freq,97,Grouped,>15
Total,age_category,proportion,22.776911076443056,Grouped,14-15
Total,age_category,freq,146,Grouped,14-15
Total,age_category,proportion,38.22152886115445,Grouped,<=13
Total,age_category,freq,245,Grouped,<=13
Total,age_category,proportion,39.0015600624025,Grouped,>15
Total,age_category,freq,250,Grouped,>15
SEARCH,race_eth,proportion,22.039473684210527,Grouped,Hispanic
SEARCH,race_eth,freq,67,Grouped,Hispanic
SEARCH,race_eth,proportion,36.8421052631579,Grouped,NH Black
SEARCH,race_eth,freq,112,Grouped,NH Black
SEARCH,race_eth,proportion,8.881578947368421,Grouped,NH Other
SEARCH,race_eth,freq,27,Grouped,NH Other
SEARCH,race_eth,proportion,32.23684210526316,Grouped,NH White
SEARCH,race_eth,freq,98,Grouped,NH White
TODAY,race_eth,proportion,41.839762611275965,Grouped,Hispanic
TODAY,race_eth,freq,141,Grouped,Hispanic
TODAY,race_eth,proportion,27.596439169139465,Grouped,NH Black
TODAY,race_eth,freq,93,Grouped,NH Black
TODAY,race_eth,proportion,8.6053412462908,Grouped,NH Other
TODAY,race_eth,freq,29,Grouped,NH Other
TODAY,race_eth,proportion,21.958456973293767,Grouped,NH White
TODAY,race_eth,freq,74,Grouped,NH White
Total,race_eth,proportion,32.449297971918874,Grouped,Hispanic
Total,race_eth,freq,208,Grouped,Hispanic
Total,race_eth,proportion,31.981279251170047,Grouped,NH Black
Total,race_eth,freq,205,Grouped,NH Black
Total,race_eth,proportion,8.736349453978159,Grouped,NH Other
Total,race_eth,freq,56,Grouped,NH Other
Total,race_eth,proportion,26.83307332293292,Grouped,NH White
Total,race_eth,freq,172,Grouped,NH White
SEARCH,bmipct,proportion,44.73684210526316,Grouped,<98.5
SEARCH,bmipct,freq,136,Grouped,<98.5
SEARCH,bmipct,proportion,55.26315789473684,Grouped,>=98.5
SEARCH,bmipct,freq,168,Grouped,>=98.5
TODAY,bmipct,proportion,42.433234421364986,Grouped,<98.5
TODAY,bmipct,freq,143,Grouped,<98.5
TODAY,bmipct,proportion,57.566765578635014,Grouped,>=98.5
TODAY,bmipct,freq,194,Grouped,>=98.5
Total,bmipct,proportion,43.52574102964119,Grouped,<98.5
Total,bmipct,freq,279,Grouped,<98.5
Total,bmipct,proportion,56.47425897035881,Grouped,>=98.5
Total,bmipct,freq,362,Grouped,>=98.5
